City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Jamestown,US,2020-08-17 23:25:50,42.1,-79.24,71.01,82,75,3.36
70,Loughton,GB,2020-08-17 23:27:57,52.03,-0.79,60.01,99,93,3.0
71,Shuangcheng,CN,2020-08-17 23:27:57,45.35,126.28,75.2,94,90,8.95
72,Sangar,RU,2020-08-17 23:27:58,63.92,127.47,53.38,49,0,1.92
73,Pimenta Bueno,BR,2020-08-17 23:27:58,-11.67,-61.19,86.86,21,1,2.37
74,Lompoc,US,2020-08-17 23:26:31,34.64,-120.46,84.0,68,1,16.11
75,Raudeberg,NO,2020-08-17 23:27:58,61.99,5.14,63.0,91,0,2.48
76,Pevek,RU,2020-08-17 23:27:59,69.7,170.31,38.77,84,100,15.32
77,Saint George,US,2020-08-17 23:25:22,37.1,-113.58,111.99,5,1,4.25
78,Dingle,PH,2020-08-17 23:27:59,11.0,122.67,77.94,87,100,2.26
79,Arraial Do Cabo,BR,2020-08-17 23:28:00,-22.97,-42.03,75.2,78,40,5.82
80,Sechura,PE,2020-08-17 23:28:00,-5.56,-80.82,67.87,69,30,17.65
81,Castro,BR,2020-08-17 23:28:00,-24.79,-50.01,60.64,95,100,7.11
82,Denia,ES,2020-08-17 23:28:00,38.84,0.11,81.0,49,34,6.33
83,Bodden Town,KY,2020-08-17 23:28:00,19.28,-81.25,89.01,74,20,3.36
84,Ketchikan,US,2020-08-17 23:28:01,55.34,-131.65,64.4,87,90,9.17
85,Flinders,AU,2020-08-17 23:28:01,-34.58,150.86,62.01,62,60,8.99
86,Guerrero Negro,MX,2020-08-17 23:28:01,27.98,-114.06,84.34,47,0,17.07
87,Torit,SS,2020-08-17 23:28:01,4.41,32.57,69.03,90,57,2.33
88,Torbay,CA,2020-08-17 23:28:01,47.67,-52.73,64.99,68,90,13.87
89,Kaeo,NZ,2020-08-17 23:28:02,-35.1,173.78,59.0,3,100,14.0
90,Saint-Philippe,RE,2020-08-17 23:28:02,-21.36,55.77,66.2,63,20,6.93
91,Bluff,NZ,2020-08-17 23:28:02,-46.6,168.33,35.01,97,98,4.0
92,Tasiilaq,GL,2020-08-17 23:28:02,65.61,-37.64,44.6,93,47,3.36
93,Vanimo,PG,2020-08-17 23:28:03,-2.67,141.3,81.48,73,32,6.78
94,Catamarca,AR,2020-08-17 23:27:35,-28.47,-65.79,66.99,49,0,3.0
95,Hobart,AU,2020-08-17 23:28:03,-42.88,147.33,50.0,93,75,5.82
96,Carnarvon,AU,2020-08-17 23:28:03,-24.87,113.63,50.0,100,16,5.82
97,Hudson Bay,CA,2020-08-17 23:28:03,52.85,-102.38,84.07,51,0,6.69
98,Dayong,CN,2020-08-17 23:28:04,25.02,118.29,84.2,79,75,8.95
99,Cedartown,US,2020-08-17 23:28:04,34.05,-85.25,87.01,52,74,3.22
100,Bethel,US,2020-08-17 23:28:04,41.37,-73.41,69.8,88,90,5.82
101,Shimoda,JP,2020-08-17 23:28:04,34.67,138.95,80.6,100,75,8.05
102,Paamiut,GL,2020-08-17 23:23:28,61.99,-49.67,48.34,66,0,11.12
103,Novyy Urgal,RU,2020-08-17 23:28:05,51.07,132.56,59.25,96,100,1.43
104,Mar Del Plata,AR,2020-08-17 23:28:05,-38.0,-57.56,54.0,61,0,6.93
105,Mahon,ES,2020-08-17 23:28:05,39.89,4.27,77.0,83,38,8.05
106,Asfi,MA,2020-08-17 23:28:05,32.3,-9.24,70.66,84,0,22.39
107,Yulara,AU,2020-08-17 23:28:06,-25.24,130.99,55.4,28,0,2.48
108,Kampong Thum,KH,2020-08-17 23:28:06,12.71,104.89,75.88,92,82,1.28
109,Hermanus,ZA,2020-08-17 23:28:06,-34.42,19.23,48.0,78,88,5.99
110,Bambous Virieux,MU,2020-08-17 23:28:06,-20.34,57.76,71.01,77,20,9.17
111,Imbituba,BR,2020-08-17 23:28:07,-28.24,-48.67,64.4,82,75,4.7
112,Luderitz,NA,2020-08-17 23:28:07,-26.65,15.16,54.93,66,0,11.03
113,Asau,RO,2020-08-17 23:28:07,46.43,26.4,62.01,81,0,4.41
114,Flin Flon,CA,2020-08-17 23:28:07,54.77,-101.86,71.6,64,20,6.93
115,Kavaratti,IN,2020-08-17 23:28:08,10.57,72.64,80.96,82,92,12.59
116,Iqaluit,CA,2020-08-17 23:28:08,63.75,-68.51,42.8,93,40,9.17
117,Borovoy,RU,2020-08-17 23:28:08,55.43,86.08,59.0,100,40,4.47
118,Ust-Kut,RU,2020-08-17 23:28:08,56.79,105.77,50.83,70,5,2.17
119,Manicore,BR,2020-08-17 23:28:08,-5.81,-61.3,89.6,66,28,0.69
120,Bredasdorp,ZA,2020-08-17 23:28:09,-34.53,20.04,44.6,81,57,12.75
121,Nantucket,US,2020-08-17 23:27:18,41.28,-70.1,68.0,68,1,5.82
122,Lampazos De Naranjo,MX,2020-08-17 23:28:09,27.02,-100.52,97.27,25,1,10.51
123,Puerto Escondido,MX,2020-08-17 23:28:10,15.85,-97.07,78.8,69,90,5.82
124,Fort Nelson,CA,2020-08-17 23:28:10,58.81,-122.7,62.6,88,75,2.24
125,Leningradskiy,RU,2020-08-17 23:28:10,69.38,178.42,43.59,66,94,8.84
126,Arlit,NE,2020-08-17 23:28:11,18.74,7.39,97.79,19,22,10.63
127,Tomatlan,MX,2020-08-17 23:28:11,19.93,-105.25,77.81,92,50,4.27
128,Kayes,ML,2020-08-17 23:28:12,14.0,-11.0,79.7,82,16,6.02
129,Farafenni,GM,2020-08-17 23:28:12,13.57,-15.6,78.35,90,100,8.25
130,Vezirkopru,TR,2020-08-17 23:28:12,41.14,35.45,55.4,50,0,8.05
131,Caluquembe,AO,2020-08-17 23:28:13,-13.78,14.68,57.07,57,72,3.69
132,Walvis Bay,NA,2020-08-17 23:28:13,-22.96,14.51,53.01,71,0,3.36
133,Vostok,RU,2020-08-17 23:28:13,46.49,135.88,62.76,76,96,4.76
