City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Ambulu,ID,75.54,broken clouds,-8.35,113.61,Hotel Ambulu Jember
267,San Quintin,MX,80.47,few clouds,30.48,-115.95,Old Mill Hotel
271,Katobu,ID,79.09,clear sky,-4.94,122.53,La Ode Husein
278,Marsh Harbour,BS,84.92,overcast clouds,26.54,-77.06,Abaco Beach Resort
279,Fare,PF,78.89,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
281,Methoni,GR,80.01,clear sky,36.82,21.7,Methoni Beach Hotel
282,Nishihara,JP,89.6,haze,26.18,127.76,Minshuku Agaihama
284,Praia,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
285,Lubao,PH,81.0,broken clouds,14.92,120.55,Hacienda Gracia
286,Damietta,EG,75.06,clear sky,31.42,31.81,العواد لتجارة الابلكاش
288,Isangel,VU,78.8,few clouds,-19.55,169.27,Volcano Sea View Tree House
291,Namatanai,PG,84.4,overcast clouds,-3.67,152.43,Namatanai Hotel
293,Maumere,ID,78.31,scattered clouds,-8.62,122.21,Sylvia Hotel
296,Marrakesh,MA,78.8,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
299,Lorengau,PG,85.91,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
300,Yeppoon,AU,77.0,few clouds,-23.13,150.73,Villa Mar Colina
303,Mahon,ES,75.2,clear sky,39.89,4.27,ARTIEM Capri
308,Denpasar,ID,78.8,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
309,Mandalay,MM,78.8,broken clouds,21.97,96.08,Hotel Yadanarbon
313,Dwarka,IN,82.56,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
314,Abu Kamal,SY,77.95,clear sky,34.45,40.92,محطة التلفاز
317,Sao Filipe,CV,77.47,scattered clouds,14.9,-24.5,Tortuga B&B
318,Katsuura,JP,88.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
320,Labuhan,ID,77.99,overcast clouds,-6.88,112.21,bador sepret
322,Progreso,MX,79.0,broken clouds,21.28,-89.67,Playa Linda Hotel
338,Porbandar,IN,81.95,overcast clouds,21.64,69.61,Lords Inn Porbandar
343,Sabha,LY,88.32,scattered clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
346,Hamamatsu,JP,89.01,overcast clouds,34.7,137.73,Hotel Crown Palais Hamamatsu
348,Shimoda,JP,86.0,few clouds,34.67,138.95,Shimoda Tokyu Hotel
349,Hatillo,PR,84.99,broken clouds,18.49,-66.83,Hotel Parador El Buen Cafe
354,Bien Hoa,VN,77.0,broken clouds,10.95,106.82,OYO 991 Duy Anh Hotel
355,Pemangkat,ID,78.37,broken clouds,1.17,108.97,Kost H.Syamsuddin
358,Missoula,US,89.6,few clouds,47.02,-113.8,Gold Creek Cabin
359,Paragominas,BR,77.0,broken clouds,-2.97,-47.48,HOTEL RODA VIVA
371,Aquiraz,BR,78.8,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
374,Zinacantan,MX,80.6,broken clouds,16.75,-92.7,Ermis house
376,Santa Rosa,PH,80.01,overcast clouds,14.31,121.11,Amethyst Econotel
377,Hobyo,SO,76.95,overcast clouds,5.35,48.53,Osmani Hotel
398,Aswan,EG,85.78,few clouds,24.09,32.91,Nuba Nile
405,Novo Aripuana,BR,84.15,few clouds,-5.12,-60.38,Hotel Ypê
414,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
417,Kalmunai,LK,77.31,overcast clouds,7.42,81.82,VS Villa
419,Codajas,BR,84.2,clear sky,-3.84,-62.06,Hotel Tamires
425,Nemuro,JP,75.2,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
