City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Makakilo City,US,21.35,-158.09,89.6,45,75,12.75,broken clouds
84,Georgetown,MY,5.41,100.34,80.6,94,40,4.88,scattered clouds
85,Erenhot,CN,43.65,111.98,61.99,58,0,11.95,clear sky
86,Port Lincoln,AU,-34.73,135.87,55.87,66,20,20.58,few clouds
87,Jamestown,US,42.1,-79.24,64.99,55,1,3.62,clear sky
88,Arraial Do Cabo,BR,-22.97,-42.03,75.2,83,0,11.41,clear sky
89,Dongsheng,CN,39.82,109.98,65.82,60,0,3.87,clear sky
90,Puri,IN,19.8,85.85,77.0,100,90,10.29,light rain
91,Kalabo,ZM,-14.97,22.68,57.45,33,0,7.94,clear sky
92,Lagos,NG,6.58,3.75,78.8,78,20,6.93,few clouds
93,Saint George,US,37.1,-113.58,109.99,10,1,10.29,clear sky
94,Jizan,SA,17.33,42.67,89.6,62,40,5.82,scattered clouds
95,Ribeira Grande,PT,38.52,-28.7,68.94,67,82,16.15,broken clouds
96,East London,ZA,-33.02,27.91,52.74,56,5,5.73,clear sky
97,Clyde River,CA,70.47,-68.59,50.0,87,75,8.05,broken clouds
98,Boffa,GN,10.17,-14.03,76.14,93,100,5.66,light rain
99,Entebbe,UG,0.06,32.45,71.6,83,20,4.7,few clouds
100,Hithadhoo,MV,-0.6,73.08,83.12,67,70,3.02,broken clouds
101,Tuatapere,NZ,-46.13,167.68,55.0,83,56,1.01,broken clouds
102,Silva Jardim,BR,-22.65,-42.39,75.2,83,3,11.41,clear sky
103,Longyearbyen,SJ,78.22,15.64,42.8,70,75,16.11,broken clouds
104,Khatanga,RU,71.97,102.5,52.27,60,55,10.29,broken clouds
105,Cape Town,ZA,-33.93,18.42,54.0,87,40,8.05,scattered clouds
106,Pevek,RU,69.7,170.31,42.3,82,97,1.21,overcast clouds
107,Cayenne,GF,4.93,-52.33,77.0,100,90,10.49,overcast clouds
108,Neiafu,TO,-18.65,-173.98,82.4,78,75,10.29,broken clouds
109,Bredasdorp,ZA,-34.53,20.04,50.0,76,100,1.12,overcast clouds
110,Moi,NO,58.46,6.55,64.99,93,78,3.38,broken clouds
111,Fortuna,US,40.6,-124.16,71.01,33,33,8.01,scattered clouds
112,Yingcheng,CN,30.95,113.55,82.4,83,100,8.95,overcast clouds
113,Banjar,ID,-8.19,114.97,78.8,100,75,14.99,broken clouds
114,Saskylakh,RU,71.92,114.08,43.74,65,100,3.6,overcast clouds
115,Maniitsoq,GL,65.42,-52.9,47.97,73,0,7.36,clear sky
116,Saint Anthony,US,45.02,-93.22,79.0,57,90,9.17,overcast clouds
117,San Ignacio,BZ,17.16,-89.07,87.8,70,40,4.7,thunderstorm
118,Jinxiang,CN,22.86,115.7,82.27,78,91,4.97,overcast clouds
119,Novoagansk,RU,61.94,76.66,51.67,96,11,7.14,few clouds
120,Chifeng,CN,42.27,118.96,61.34,61,82,5.61,broken clouds
121,Bathsheba,BB,13.22,-59.52,80.6,78,40,14.99,shower rain
122,Puerto Ayora,EC,-0.74,-90.35,66.99,94,87,5.99,overcast clouds
123,Evensk,RU,61.95,159.23,52.38,87,100,13.38,light rain
124,Margate,GB,51.38,1.39,68.0,99,97,3.0,overcast clouds
125,Lebu,CL,-37.62,-73.65,45.95,74,0,19.86,clear sky
126,Azogues,EC,-2.73,-78.83,60.8,77,96,11.41,light rain
127,Karoi,ZW,-16.81,29.69,63.09,48,5,8.61,clear sky
128,Jiancheng,CN,30.39,104.55,71.6,100,40,1.86,mist
129,Deputatskiy,RU,69.3,139.9,37.69,78,88,7.31,overcast clouds
130,Buala,SB,-8.14,159.59,85.59,67,91,3.38,overcast clouds
131,Vaini,TO,-21.2,-175.2,77.0,88,75,12.75,broken clouds
132,Poum,NC,-20.23,164.02,73.06,70,2,12.17,clear sky
133,Mariental,NA,-24.63,17.97,39.69,54,0,9.1,clear sky
134,Cabo San Lucas,MX,22.89,-109.91,75.99,93,100,17.0,moderate rain
135,Victoria,HK,22.29,114.16,84.99,83,98,8.01,overcast clouds
136,Gemena,CD,3.25,19.77,70.63,96,98,0.6,overcast clouds
137,Comodoro Rivadavia,AR,-45.87,-67.5,51.8,55,43,16.11,scattered clouds
138,Nikolskoye,RU,59.7,30.79,54.0,87,0,2.24,smoke
139,Hamilton,US,39.18,-84.53,75.0,56,1,4.7,clear sky
140,Narsaq,GL,60.92,-46.05,51.8,62,32,4.7,scattered clouds
141,Najran,SA,17.49,44.13,82.4,21,69,3.04,broken clouds
142,Newport,GB,51.59,-3.0,64.99,90,100,5.01,overcast clouds
143,Shiyan,CN,32.65,110.78,72.12,92,100,5.17,light rain
144,Padang,ID,-0.95,100.35,78.93,76,80,4.32,broken clouds
145,Hobart,AU,-42.88,147.33,53.01,62,75,13.87,broken clouds
146,Bedford,GB,52.13,-0.47,69.01,94,97,4.0,moderate rain
147,Port-Gentil,GA,-0.72,8.78,75.2,83,90,16.93,overcast clouds
148,Tura,IN,25.52,90.22,73.42,94,93,5.21,light rain
149,Kavieng,PG,-2.57,150.8,84.6,70,24,7.9,light rain
150,Mantsala,FI,60.66,25.28,55.4,93,7,4.7,clear sky
151,Geraldton,AU,-28.77,114.6,51.8,81,82,3.36,broken clouds
152,La Ronge,CA,55.1,-105.28,75.2,69,75,5.82,broken clouds
153,Praia Da Vitoria,PT,38.73,-27.07,68.0,68,75,11.05,broken clouds
154,Mount Gambier,AU,-37.83,140.77,48.2,93,75,8.05,light intensity shower rain
155,Chokurdakh,RU,70.63,147.92,36.21,95,100,10.0,overcast clouds
156,Palasbari,IN,26.14,91.55,82.4,100,75,2.15,mist
157,Zhezkazgan,KZ,47.8,67.71,55.53,45,27,1.74,scattered clouds
158,Bacolod,PH,10.67,122.95,78.84,84,99,5.93,light rain
159,San Cristobal,VE,7.77,-72.22,84.2,62,75,6.93,thunderstorm
160,Husavik,IS,66.04,-17.34,46.4,75,0,5.82,clear sky
161,Yerkoy,TR,39.64,34.47,67.1,27,0,2.66,clear sky
162,Rundu,NA,-17.93,19.77,44.62,43,0,6.51,clear sky
163,Carapur,IN,15.55,73.97,77.76,86,100,6.71,moderate rain
164,Bengkulu,ID,-3.8,102.27,76.3,83,78,4.61,broken clouds
165,Sapa,PH,5.15,120.32,83.88,68,1,4.94,clear sky
166,Monrovia,LR,6.3,-10.8,77.0,88,75,5.82,broken clouds
167,Bijapur,IN,16.83,75.7,71.65,88,94,14.88,overcast clouds
168,Churapcha,RU,62.0,132.43,57.33,44,88,6.55,overcast clouds
169,Sibolga,ID,1.74,98.78,77.97,73,100,3.42,overcast clouds
170,Olot,ES,42.18,2.49,72.0,84,0,7.0,clear sky
171,Doha,QA,25.29,51.53,89.6,75,28,3.36,scattered clouds
172,Aparecida Do Taboado,BR,-20.09,-51.09,69.82,69,9,15.86,clear sky
173,Leshukonskoye,RU,64.9,45.76,40.78,90,64,5.84,broken clouds
174,Menomonie,US,44.88,-91.92,75.0,56,1,8.05,clear sky
175,Palmer,US,42.16,-72.33,64.99,93,40,2.01,scattered clouds
176,Vestmannaeyjar,IS,63.44,-20.27,48.97,81,100,17.2,overcast clouds
177,Sangmelima,CM,2.93,11.98,68.23,98,86,3.96,overcast clouds
178,Amapa,BR,1.0,-52.0,76.73,76,67,4.56,broken clouds
179,Karratha,AU,-20.74,116.85,69.66,27,0,13.8,clear sky
180,Disna,BY,55.57,28.2,56.59,97,26,7.52,scattered clouds
181,Mitsamiouli,KM,-11.38,43.28,75.52,78,11,8.46,few clouds
182,Kodiak,US,57.79,-152.41,64.4,55,90,13.87,overcast clouds
183,Banda Aceh,ID,5.56,95.32,79.65,77,92,5.12,overcast clouds
184,Teplodar,UA,46.51,30.33,66.2,82,94,5.35,overcast clouds
185,Komsomolskiy,UZ,40.43,71.72,68.0,60,29,6.93,scattered clouds
186,Saint-Pierre,RE,-21.34,55.48,69.01,68,90,3.36,overcast clouds
187,Luderitz,NA,-26.65,15.16,60.4,31,0,9.33,clear sky
188,Pavino,RU,59.11,46.14,41.52,84,42,6.24,scattered clouds
